molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,pChEMBL_value
CHEMBL419055,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1,active,4.3,8.37
CHEMBL419231,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,active,144.4,6.84
CHEMBL332013,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,active,187.4,6.73
CHEMBL279948,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1,active,241.0,6.62
CHEMBL325533,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC,active,520.3,6.28
CHEMBL119568,Nc1ncc(Cc2ccc(OCCCOc3ccccc3)cc2)c(N)n1,active,470.6,6.33
CHEMBL4211543,CC(C)(C)C1CCC(C(=O)NCCc2ccc(CNc3ccc4nc(N)nc(N)c4c3)cc2)CC1,active,289.9,6.54
CHEMBL747,CC1(C)N=C(N)N=C(N)N1c1ccc(Cl)cc1,inactive,37900.0,4.42
CHEMBL444605,CC(=O)OCCCc1nc(N)nc(N)c1-c1cccc(Cl)c1,intermediate,1600.0,5.8
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,active,1.0,9.0
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,active,0.6,9.22
CHEMBL161757,NC1=NC(c2cccc(Oc3cc(Cl)cc(Cl)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,intermediate,5500.0,5.26
CHEMBL21407,COC(=O)CCCc1nc(N)nc(N)c1-c1ccccc1,active,15.0,7.82
CHEMBL348151,NC1=NC(c2cccc(Oc3cccc(C(F)(F)F)c3)c2)N(c2cccc(Cl)c2)C(N)=N1,intermediate,3400.0,5.47
CHEMBL352441,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1,intermediate,1900.0,5.72
CHEMBL158570,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1,intermediate,3900.0,5.41
CHEMBL119224,Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1,inactive,29610.0,4.53
